Codigo produto;;Descricao do produto;Estoque total interno (disponivel+reserva);Estoque reserva;Estoque disponivel;Estoque minimo;Valor do custo medio unitario;Valor da ultima compra;Valor da ultima compra em moeda;Saidas (demanda) mes anterior 1;Saidas (demanda) mes anterior 2;Saidas (demanda) mes anterior 3;Saidas (demanda) mes anterior 4;Tipo da moeda;Tipo do produto;Servico correspondente;Estoque nao conforme;Indicador de calculo do estoque minimo;Marca do produto;Tipo do conjunto;Topico;Indicador de inventario;CST de ICMS;Aliquota ICMS interna;Codigo do convenio;Categoria do convenio;Quantidade maxima para cobranca;Numero registro MS/ANVISA;Data validade do registro MS/ANVISA;Codigo da etiqueta MS/ANVISA;NCM;Indicador de controle de lote;Estoque externo;Estoque total;Controle de validade;Produto esteril;Tipo calculo estoque minimo;Quantidade de dias estoque minimo;Fornecedor preferencial;Codigo de referencia;Unidade compra/Quantidade embalagem;Codigo interno do produto;Situacao do produto;Data da ultima saida;Tipo de remessa do produto;Aliquota de IPI para compra;Aliquota de IPI para venda;Mensagem para tributacao de ICMS;Data da ultima compra;Estoque deposito externo;Valor de reposicao;Codigo para tributacao de ICMS;Codigo para tributacao de IPI;Localizacao no estoque;Estoque Segregado;Descricao comercial;Observacoes internas;Tipo;Grupo do produto;Percentual de PIS para saida;Percentual de COFINS para saida;Data de cadastro;Funcionario responsavel pelo cadastro;CEST-Codigo especificador Substituicao Tributaria;Tipo da data de validade do lote;Data do primeiro movimento de estoque;Data do ultimo movimento de estoque;Codigo TUSS;Classificacao de risco MS/ANVISA;Unidade de venda;Descricao completa - portugues;Descricao completa - importacao/exportacao;Saldo em Conjunto Interno;Saldo em Conjunto Externo;Peso Bruto;Peso Liquido;GTIN-13 do fabricante;EX TIPI;Produto exige registro ANVISA?;Estoque em quarentena;Fator conversao unid.comercial p/unid.tributavel;Codigo identitificador;Perfil para determinacao tributos federais;Quantidade de anos de validade
'525211;0;SONDA ESTIMULO MONOPO RETA 31;6;0;6;0;2.467,63;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;70-INSTRUMENTAIS;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;81086970010;25/08/2024;1;9018.19.80;Controle total lote;1;7;SIM Qt.anos= 3 DD/MM/AA;SIM;Calculo Manual;;02/     8-INOMED MEDIZIN;'525211;UN /      1;194;Ativo em catalogo;;1-IMPLANT./DESCART(REVENDA);0;0;0;;0;0;NACIONAL TRIB.;ISENTO;;0;SONDA DE ESTIMULO MONOPOLAR RETA 31CM;;702-MONITORIZACAO;001-C2;1,65;7,6;22/12/2022;998-VIMAN;;Dia/mes/ano (DD/MM/AA);04/01/2023;02/12/2023;;III-Alto risco;UN;SONDA DE ESTIMULO MONOPOLAR RETA 31CM;;0;0;0;0;;;Sim;0;1;;;3
'525603;0;SONDA MONOPOLAR, RETA P. ANGUL;65;45;20;65;235,26;235,26;235,26;80;45;45;205;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;25-CABECA E PESCOCO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;81086970029;Vigente;1;9018.39.29;Controle total lote;0;65;SIM Qt.anos= 4 DD/MM/AA;SIM;Calculo Manual;60;02/     8-INOMED MEDIZIN;'525603;UN /      1;92;Ativo em catalogo;19/12/2023;1-IMPLANT./DESCART(REVENDA);0;0;0;09/01/2024;0;316,15;NACIONAL TRIB.;ISENTO;;0;SONDA MONOPOLAR, RETA COM PONTA ANGULADA;;251-MONITORIZACAO;001-ELETRODOS;0;0;22/12/2022;998-VIMAN;;Dia/mes/ano (DD/MM/AA);04/01/2023;09/01/2024;;II-Medio risco;UN;SONDA MONOPOLAR, RETA COM PONTA ANGULADA;;0;0;0;0;;;Sim;0;1;;;4
'525608;0;SONDA MONO RETA C/PONTA FLEXIV;20;0;20;0;346,13;248,16;248,16;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;25-CABECA E PESCOCO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;81086970029;Vigente;1;9018.39.29;Controle total lote;0;20;SIM Qt.anos= 3 DD/MM/AA;SIM;Calculo Manual;60;02/     8-INOMED MEDIZIN;'525608;UN /      1;75;Ativo em catalogo;25/08/2023;1-IMPLANT./DESCART(REVENDA);0;0;0;11/09/2023;0;273,45;NACIONAL TRIB.;ISENTO;;0;SONDA MONOPOLAR, RETA COM PONTA FLEXIVEL;;251-MONITORIZACAO;001-ELETRODOS;0;0;22/12/2022;998-VIMAN;;Dia/mes/ano (DD/MM/AA);04/01/2023;02/12/2023;;II-Medio risco;UN;SONDA MONOPOLAR, RETA COM PONTA FLEXIVEL;;0;0;0;0;;;Sim;0;1;;;3
'525650-RA;0;KIT CAN. RAABE MAPEAMENTO ASPI;28;0;28;6;2.609,51;2.347,71;2.347,71;2;4;6;17;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;50-NEUROCIRURGIA;Fisico=SIM - Fiscal=SIM;'040;0;;;SEM limite;81086970010;25/08/2024;1;9018.39.29;Controle total lote;0;28;SIM Qt.anos= 3 DD/MM/AA;SIM;Calculo Manual;60;02/     8-INOMED MEDIZIN;'525650-RA;UN /      1;153;Ativo em catalogo;21/12/2023;1-IMPLANT./DESCART(REVENDA);0;0;0;09/10/2023;0;2.587,01;NACIONAL ISENTO;ISENTO;;0;KIT CANULA RAABE DE MAPEAMENTO E ASPIRACAO SUB-CORTICAL E CO;;502-NEUROCIRURGIA;004-RAABE;0;0;22/12/2022;998-VIMAN;;Dia/mes/ano (DD/MM/AA);19/01/2023;21/12/2023;;III-Alto risco;UN;KIT CANULA RAABE DE MAPEAMENTO E ASPIRACAO SUB-CORTICAL E CO;;0;0;0;0;;;Sim;0;1;;;3
'530667;0;CABO CONECTOR S BLINDADO;0;0;0;0;390,32;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970012;Vigente;1;9018.19.80;Controle total lote;1;1;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'530667;UN /      1;11;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);2;2;0;;0;0;DIRETO TRIB.;TRIBUTADO (2%);;0;CABO CONECTOR EM S BLINDADO PARA OS ELETRODOS DE LARINGE INO;;753-MONITORIZACAO;001-C2;1,65;7,6;22/12/2022;998-VIMAN;;;13/01/2023;13/01/2023;;II-Medio risco;UN;CABO CONECTOR EM S BLINDADO PARA OS ELETRODOS DE LARINGE INO;;0;0;0;0;;;Sim;0;1;;;0
'530867;0;CABO CONEXAO ELETR.LARINGEAL 8;5;1;4;0;1.491,79;1.926,51;1.926,51;0;0;0;1;01 - DOLAR;Normal;;2;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'200;18;;;SEM limite;81086970012;Vigente;1;9018.19.80;Controle total lote;96;101;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'530867;UN /      1;13;Ativo em catalogo;20/09/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;07/08/2023;0;2.438,40;INDIRETO TRIB.;ISENTO;;1;CABO DE CONEXAO PARA O ELETRODO LARINGEAL 8 CANAIS - CABO PR;;753-MONITORIZACAO;001-C2;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;09/01/2024;;II-Medio risco;UN;CABO DE CONEXAO PARA O ELETRODO LARINGEAL 8 CANAIS - CABO PR;;0;0;0;0;;;Sim;0;1;;;0
'540345;0;PROTETOR AURICULAR DE RUIDO;200;0;200;0;3,88;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970010;25/08/2024;1;3926.90.90;Controle total lote;0;200;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'540345;UN /      1;29;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);2;2;0;;0;0;DIRETO TRIB.;TRIBUTADO (2%);;0;PROTETOR AURICULAR DE RUIDO;;753-MONITORIZACAO;001-C2;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;02/12/2023;;III-Alto risco;UN;PROTETOR AURICULAR DE RUIDO;;0;0;0;0;;;Sim;0;1;;;0
'540425;0;ELETR. EMG 4 CANAIS;0;0;0;0;922,24;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970012;Vigente;1;9018.19.80;Controle total lote;50;50;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'540425;UN /      1;27;Ativo em catalogo;17/07/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;0;ELETRODOS EMG 4 CANAIS;;753-MONITORIZACAO;001-C2;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;21/12/2023;;II-Medio risco;UN;ELETRODOS EMG 4 CANAIS;;0;0;0;0;;;Sim;0;1;;;0
'540430;0;HEAD BOX P/C2 XPLORE;1;1;0;0;9.282,78;5.100,58;5.100,58;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81895419001;Vigente;1;9018.19.80;Controle total lote;2;3;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'540430;UN /      1;28;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);2;2;0;12/06/2023;0;6.433,91;DIRETO TRIB.;TRIBUTADO (2%);;0;HEAD BOX PARA C2 XPLORE;;753-MONITORIZACAO;001-C2;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;09/01/2024;;II-Medio risco;UN;HEAD BOX PARA C2 XPLORE;;0;0;0;0;;;Sim;0;1;;;0
'540431;0;BODY BOX P/C2 XPLORE;1;1;0;0;8.914,77;5.100,58;5.100,58;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81895419001;Vigente;1;9018.19.80;Controle total lote;3;4;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'540431;UN /      1;6;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);2;2;0;07/08/2023;0;6.433,91;DIRETO TRIB.;TRIBUTADO (2%);;0;BODY BOX PARA C2 XPLORE;;753-MONITORIZACAO;001-C2;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;09/01/2024;;II-Medio risco;UN;BODY BOX PARA C2 XPLORE;;0;0;0;0;;;Sim;0;1;;;0
'540450;0;SIMULADOR DE TIREOIDE;1;0;1;0;2.115,97;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'040;0;;;SEM limite;;;1;9018.90.99;Controle total lote;0;1;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'540450;UN /      1;30;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;NACIONAL ISENTO;ISENTO;;0;SIMULADOR DE TIREOIDE;;753-MONITORIZACAO;001-C2;0;0;22/12/2022;998-VIMAN;;;04/01/2023;02/12/2023;;;UN;SIMULADOR DE TIREOIDE;;0;0;0;0;;;Nao;0;1;;;0
'540451;0;CABO SIMULADOR DE TIREOIDE;2;0;2;0;863,53;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;;;1;8544.42.00;Controle total lote;0;2;NAO;NAO;Calculo Manual;;02/     8-INOMED MEDIZIN;'540451;UN /      1;19;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;NACIONAL TRIB.;ISENTO;;0;CABO SIMULADOR DE TIREOIDE;;753-MONITORIZACAO;001-C2;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;02/12/2023;;;UN;CABO SIMULADOR DE TIREOIDE;;0;0;0;0;;;Nao;0;1;;;0
'540501;0;SEP ADAPT. ESTIMULACAO P/ISIS;2;0;2;0;448,92;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'040;0;;;SEM limite;81086970010;25/08/2024;1;9018.90.99;Controle total lote;0;2;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'540501;UN /      1;60;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;NACIONAL ISENTO;ISENTO;;0;SEP ADAPTADOR DE ESTIMULACAO PARA ISIS NEUROESTIMULADOR;;753-MONITORIZACAO;003-ISI IOM XPRESS;0;0;22/12/2022;998-VIMAN;;;04/01/2023;04/01/2023;;III-Alto risco;UN;SEP ADAPTADOR DE ESTIMULACAO PARA ISIS NEUROESTIMULADOR;;0;0;0;0;;;Sim;0;1;;;0
'540530;0;EMG/MEP ADAPT P/ISIS HEADBOX;1;0;1;0;625,77;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970010;25/08/2024;1;9018.90.99;Controle total lote;0;1;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'540530;UN /      1;45;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);2;2;0;;0;0;DIRETO TRIB.;TRIBUTADO (2%);;0;EMG/MEP ADAPTADOR PARA ISIS HEADBOX U8DRD;;753-MONITORIZACAO;003-ISI IOM XPRESS;0;0;22/12/2022;998-VIMAN;;;04/01/2023;02/12/2023;;III-Alto risco;UN;EMG/MEP ADAPTADOR PARA ISIS HEADBOX U8DRD;;0;0;0;0;;;Sim;0;1;;;0
'540730;0;ADAPT EMG P/ ACESSORIOS CODIF;5;0;5;0;4.445,65;0;0;0;0;0;0;01 - DOLAR;Normal;;1;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'200;18;;;SEM limite;81086970012;Vigente;1;9033.00.00;Controle total lote;36;41;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'540730;UN /      1;40;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;INDIRETO TRIB.;ISENTO;;0;ADAPTADOR DE EMG P/ ACESSORIOS CODIFICADOS POR CORES;;753-MONITORIZACAO;003-ISI IOM XPRESS;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;09/01/2024;;II-Medio risco;UN;ADAPTADOR DE EMG P/ ACESSORIOS CODIFICADOS POR CORES;;0;0;0;0;;;Sim;0;1;;;0
'541120;0;CABO ESTIMULACAO 1 CANAL 2 5M;1;0;1;0;10;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970008;13/06/2026;1;9033.00.00;Controle total lote;0;1;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'541120;UN /      1;82;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);2;2;0;;0;0;DIRETO TRIB.;TRIBUTADO (2%);;0;CABO DE ESTIMULACAO 1 CANAL 2 5M;;755-NEUROFUNCIONAL;001-MICROREGISTRO;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;02/12/2023;;IV-Maximo risco;UN;CABO DE ESTIMULACAO 1 CANAL 2 5M;;0;0;0;0;;;Sim;0;1;;;0
'590035;0;PARAF. DE FIXACAO P/ MICROGUN;9;0;9;0;179,88;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970011;30/07/2025;1;9033.00.00;Controle total lote;9;18;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'590035;UN /      1;98;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;0;PARAFUSO DE FIXACAO PARA MICROGUN (MICROGUN E UMA MARCA DA I;;755-NEUROFUNCIONAL;001-MICROREGISTRO;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;02/12/2023;;III-Alto risco;UN;PARAFUSO DE FIXACAO PARA MICROGUN (MICROGUN E UMA MARCA DA I;;0;0;0;0;;;Sim;0;1;;;0
'590038;0;MICROGRUN P/ELETR. MDT;1;0;1;0;2.683,95;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970011;30/07/2025;1;9018.90.99;Controle total lote;1;2;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'590038;UN /      1;87;Ativo em catalogo;09/01/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;0;MICROGRUN PARA ELETRODOS MDT;;755-NEUROFUNCIONAL;001-MICROREGISTRO;0;0;22/12/2022;998-VIMAN;;;04/01/2023;02/12/2023;;III-Alto risco;UN;MICROGRUN PARA ELETRODOS MDT;;0;0;0;0;;;Sim;0;1;;;0
'590040;0;ADAPT SIST. ESTEREOTAXICO ZD;1;1;0;0;11.230,12;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970011;30/07/2025;1;9018.90.99;Controle total lote;4;5;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'590040;UN /      1;62;Ativo em catalogo;09/01/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;0;ADAPTACAO DO SISTEMA ESTEREOTAXICO ZD;;755-NEUROFUNCIONAL;001-MICROREGISTRO;0;0;22/12/2022;998-VIMAN;;;04/01/2023;26/07/2023;;III-Alto risco;UN;ADAPTACAO DO SISTEMA ESTEREOTAXICO ZD;;1;0;0;0;;;Sim;0;1;;;0
'590049;0;ADAPTACAO;2;0;2;0;13.937,16;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970011;30/07/2025;1;9018.90.99;Controle total lote;4;6;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'590049;UN /      1;64;Ativo em catalogo;09/01/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;0;ADAPTACAO MM;;755-NEUROFUNCIONAL;001-MICROREGISTRO;0;0;22/12/2022;998-VIMAN;;;04/01/2023;02/12/2023;;III-Alto risco;UN;ADAPTACAO MM;;1;0;0;0;;;Sim;0;1;;;0
'590050;0;CHAVE SEXTAVADA P/PARAF. FIXAC;2;0;2;0;2.176,47;0;0;0;0;0;0;01 - DOLAR;Normal;;1;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;81086970011;30/07/2025;1;9018.90.99;Controle total lote;11;13;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'590050;UN /      1;83;Ativo em catalogo;09/01/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;NACIONAL TRIB.;ISENTO;;0;CHAVE SEXTAVADA PARA PARAFUSOS DE FIXACAO;;755-NEUROFUNCIONAL;001-MICROREGISTRO;0;0;22/12/2022;998-VIMAN;;;04/01/2023;02/12/2023;;III-Alto risco;UN;CHAVE SEXTAVADA PARA PARAFUSOS DE FIXACAO;;2;0;0;0;;;Sim;0;1;;;0
'590056;0;PORTA ELETR. ORIFICIOS GRANDES;0;0;0;0;3.000,00;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970011;30/07/2025;1;9018.90.99;Controle total lote;4;4;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'590056;UN /      1;106;Ativo em catalogo;09/01/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;0;PORTA ELETRODO (ORIFICIOS GRANDES);;755-NEUROFUNCIONAL;001-MICROREGISTRO;0;0;22/12/2022;998-VIMAN;;;04/01/2023;23/08/2023;;III-Alto risco;UN;PORTA ELETRODO (ORIFICIOS GRANDES);;1;0;0;0;;;Sim;0;1;;;0
'590059;0;PORTA ELETR. P/ MICRODRIVE;0;0;0;0;3.268,68;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970011;30/07/2025;1;9018.90.99;Controle total lote;4;4;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'590059;UN /      1;107;Ativo em catalogo;04/01/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;0;PORTA ELETRODO PARA MICRODRIVE;;755-NEUROFUNCIONAL;001-MICROREGISTRO;0;0;22/12/2022;998-VIMAN;;;04/01/2023;26/07/2023;;III-Alto risco;UN;PORTA ELETRODO PARA MICRODRIVE;;1;0;0;0;;;Sim;0;1;;;0
'590061;0;PARAF. DE FIXACAO CURTO;21;0;21;0;89,95;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970011;30/07/2025;1;9033.00.00;Controle total lote;3;24;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'590061;UN /      1;89;Ativo em catalogo;04/01/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;0;PARAFUSO DE FIXACAO CURTO;;755-NEUROFUNCIONAL;001-MICROREGISTRO;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;02/12/2023;;III-Alto risco;UN;PARAFUSO DE FIXACAO CURTO;;1;0;0;0;;;Sim;0;1;;;0
'590062;0;PARAF. DE FIXACAO LONGO;4;0;4;0;61,66;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970011;30/07/2025;1;9033.00.00;Controle total lote;10;14;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'590062;UN /      1;91;Ativo em catalogo;02/02/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;0;PARAFUSO DE FIXACAO LONGO;;755-NEUROFUNCIONAL;001-MICROREGISTRO;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;02/12/2023;;III-Alto risco;UN;PARAFUSO DE FIXACAO LONGO;;5;0;0;0;;;Sim;0;1;;;0
'590063;0;INDEXADOR;0;0;0;0;2.000,00;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970011;30/07/2025;1;9018.90.99;Controle total lote;4;4;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'590063;UN /      1;85;Ativo em catalogo;04/01/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;0;INDEXADOR;;755-NEUROFUNCIONAL;001-MICROREGISTRO;0;0;22/12/2022;998-VIMAN;;;04/01/2023;26/07/2023;;III-Alto risco;UN;INDEXADOR;;1;0;0;0;;;Sim;0;1;;;0
'590069;0;PARAF. P/ SUPORTE ELETR.;3;0;3;0;51,83;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970011;30/07/2025;1;9018.90.99;Controle total lote;8;11;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'590069;UN /      1;105;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;0;PARAFUSO PARA SUPORTE DE ELETRODO;;755-NEUROFUNCIONAL;001-MICROREGISTRO;0;0;22/12/2022;998-VIMAN;;;04/01/2023;02/12/2023;;III-Alto risco;UN;PARAFUSO PARA SUPORTE DE ELETRODO;;1;0;0;0;;;Sim;0;1;;;0
'590071;0;ADAPT SIST. ESTEREOTAXICO ZD;2;0;2;0;6.908,27;11.851,05;11.851,05;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970011;30/07/2025;1;9018.90.99;Controle total lote;2;4;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'590071;UN /      1;63;Ativo em catalogo;04/01/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;07/03/2023;0;15.000,00;DIRETO TRIB.;ISENTO;;0;ADAPTACAO DO SISTEMA ESTEREOTAXICO ZD;;755-NEUROFUNCIONAL;001-MICROREGISTRO;0;0;22/12/2022;998-VIMAN;;;04/01/2023;02/12/2023;;III-Alto risco;UN;ADAPTACAO DO SISTEMA ESTEREOTAXICO ZD;;1;0;0;0;;;Sim;0;1;;;0
'590074;0;ADAPT PLATE MICROMAR P/ MICROD;0;0;0;0;3.000,00;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970011;30/07/2025;1;9033.00.00;Controle total lote;1;1;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'590074;UN /      1;61;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;0;ADAPTADOR PLATE MICROMAR PARA MICRODRIVE;;755-NEUROFUNCIONAL;001-MICROREGISTRO;1,65;7,6;22/12/2022;998-VIMAN;;;13/01/2023;13/01/2023;;III-Alto risco;UN;ADAPTADOR PLATE MICROMAR PARA MICRODRIVE;;0;0;0;0;;;Sim;0;1;;;0
